,Unnamed: 0,place,time,pace,age,gender,location,state,divPlace,divTot
0,0,4494,92.25,9.225,38.0,M,Chesapeake Beach MD,MD,690.0,1093.0
1,1,6298,106.35,10.635,33.0,M,Washington DC,DC,1322.0,1490.0
2,2,2502,89.33,8.933,55.0,F,McLean VA,VA,37.0,236.0
3,3,8176,113.5,11.35,24.0,F,Alexandria VA,VA,878.0,974.0
4,4,3413,86.52,8.652000000000001,54.0,M,San Francisco CA,CA,213.0,483.0
5,5,8008,112.3,11.23,42.0,F,Chevy Chase MD,MD,785.0,974.0
6,6,8791,118.45,11.845,36.0,F,Fairfax VA,VA,1215.0,1367.0
7,7,3987,95.17,9.517,25.0,F,Arlington VA,VA,1230.0,2782.0
8,8,3451,93.25,9.325,25.0,F,Philadelphia PA,PA,1074.0,2782.0
9,9,1046,72.37,7.237,43.0,M,Pasadena MD,MD,111.0,931.0
10,10,3484,86.9,8.69,55.0,M,Falls Church VA,VA,138.0,375.0
11,11,2987,84.47,8.447000000000001,30.0,M,Potomac MD,MD,659.0,1490.0
12,12,4427,96.65,9.665,39.0,F,Walnut CA,CA,587.0,1367.0
13,13,6496,108.93,10.893,40.0,M,Springfield VA,VA,846.0,931.0
14,14,5827,101.58,10.158,30.0,F,Washington DC,DC,1297.0,2228.0
15,15,1224,82.78,8.277999999999999,24.0,F,Arlington VA,VA,164.0,974.0
16,16,4942,98.32,9.832,45.0,F,Potomac MD,MD,255.0,554.0
17,17,9579,134.18,13.418,33.0,F,Sterling VA,VA,2189.0,2228.0
18,18,6425,107.98,10.798,41.0,M,Arlington VA,VA,831.0,931.0
19,19,5951,102.08,10.208,36.0,F,Alexandria VA,VA,809.0,1367.0
20,20,8609,116.78,11.678,38.0,F,Edison NJ,NJ,1189.0,1367.0
21,21,3586,87.42,8.742,45.0,M,Branchville NJ,NJ,314.0,648.0
22,22,3823,94.58,9.458,35.0,F,New Market MD,MD,517.0,1367.0
23,23,2123,79.25,7.925,37.0,M,McLean VA,VA,307.0,1093.0
24,24,4517,92.37,9.237,23.0,M,Washington DC,DC,229.0,347.0
25,25,6525,109.28,10.928,51.0,M,Annandale VA,VA,444.0,483.0
26,26,227,62.47,6.247000000000001,30.0,M,Herndon VA,VA,66.0,1490.0
27,27,6462,108.45,10.845,46.0,M,Arlington VA,VA,577.0,648.0
28,28,7503,109.05,10.905,27.0,F,Arlington VA,VA,2269.0,2782.0
29,29,5751,100.62,10.062,23.0,M,Baltimore MD,MD,297.0,347.0
30,30,953,80.73,8.073,31.0,F,Arlington VA,VA,216.0,2228.0
31,31,2937,91.2,9.12,51.0,F,Delaware OH,OH,96.0,397.0
32,32,1145,82.23,8.222999999999999,65.0,F,Oak Hill VA,VA,2.0,35.0
33,33,3146,85.15,8.515,34.0,M,Burke VA,VA,697.0,1490.0
34,34,6783,105.45,10.545,31.0,F,Silver Spring MD,MD,1513.0,2228.0
35,35,4098,95.55,9.555,27.0,F,Durham NC,NC,1264.0,2782.0
36,36,6222,103.2,10.32,26.0,F,Alexandria VA,VA,1900.0,2782.0
37,37,1823,77.7,7.77,39.0,M,Alexandria VA,VA,267.0,1093.0
38,38,5029,98.6,9.86,33.0,F,Alexandria VA,VA,1117.0,2228.0
39,39,6945,119.43,11.943,53.0,M,Alexandria VA,VA,473.0,483.0
40,40,6669,104.97,10.497,27.0,F,Ashubrn VA,VA,2038.0,2782.0
41,41,3733,94.27,9.427,22.0,F,Colorado Springs CO,CO,491.0,974.0
42,42,6026,102.42,10.242,24.0,F,Laurel MD,MD,712.0,974.0
43,43,2144,87.85,8.785,33.0,F,Washington DC,DC,474.0,2228.0
44,44,1750,86.07,8.607000000000001,43.0,F,Arlington VA,VA,168.0,974.0
45,45,6132,102.82,10.282,30.0,F,Washington DC,DC,1362.0,2228.0
46,46,394,65.52,6.5520000000000005,33.0,M,Washington DC,DC,113.0,1490.0
47,47,863,79.93,7.9929999999999986,29.0,F,Fairfax VA,VA,283.0,2782.0
48,48,5167,99.1,9.91,29.0,F,Washington DC,DC,1599.0,2782.0
49,49,4498,96.9,9.69,37.0,F,Aberdeen MD,MD,599.0,1367.0
50,50,868,80.0,8.0,25.0,F,Austin TX,TX,285.0,2782.0
51,51,7340,108.12,10.812,31.0,F,West Springfield VA,VA,1642.0,2228.0
52,52,200,70.97,7.097,34.0,F,Alexandria VA,VA,48.0,2228.0
53,53,4130,90.18,9.018,43.0,M,South Riding VA,VA,529.0,931.0
54,54,1193,73.45,7.345,40.0,M,McLean VA,VA,127.0,931.0
55,55,1678,76.8,7.68,43.0,M,Westport CT,CT,204.0,931.0
56,56,5335,97.42,9.742,29.0,M,Washington DC,DC,1134.0,1457.0
57,57,1556,85.02,8.502,34.0,F,Severna Park MD,MD,347.0,2228.0
58,58,3974,95.15,9.515,28.0,F,Alexandria VA,VA,1227.0,2782.0
59,59,6862,116.85,11.685,28.0,M,Washington DC,DC,1407.0,1457.0
60,60,8203,113.77,11.377,35.0,F,Alexandria VA,VA,1122.0,1367.0
61,61,4952,94.98,9.498,44.0,M,Richmond VA,VA,645.0,931.0
62,62,549,76.83,7.683,42.0,F,Arlington VA,VA,42.0,974.0
63,63,5605,99.45,9.945,27.0,M,Washington DC,DC,1184.0,1457.0
64,64,3782,94.45,9.445,28.0,F,Kensington MD,MD,1159.0,2782.0
65,65,4350,91.5,9.15,24.0,M,Arnold MD,MD,223.0,347.0
66,66,876,80.1,8.01,32.0,F,Alexandria VA,VA,199.0,2228.0
67,67,5726,101.18,10.118,46.0,F,Middleburg VA,VA,310.0,554.0
68,68,1421,75.28,7.528,38.0,M,Smyrna DE,DE,212.0,1093.0
69,69,7562,109.35,10.935,22.0,F,Washington DC,DC,826.0,974.0
