age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,poutcome,target
58,management,married,tertiary,0,2143,1,0,5,may,4.35,1,-1,0,unknown,no
44,technician,single,secondary,0,29,1,0,5,may,2.52,1,-1,0,unknown,no
33,entrepreneur,married,secondary,0,2,1,1,5,may,1.27,1,-1,0,unknown,no
35,management,married,tertiary,0,231,1,0,5,may,2.32,1,-1,0,unknown,no
28,management,single,tertiary,0,447,1,1,5,may,3.62,1,-1,0,unknown,no
42,entrepreneur,divorced,tertiary,1,2,1,0,5,may,6.33,1,-1,0,unknown,no
58,retired,married,primary,0,121,1,0,5,may,0.83,1,-1,0,unknown,no
43,technician,single,secondary,0,593,1,0,5,may,0.92,1,-1,0,unknown,no
41,admin.,divorced,secondary,0,270,1,0,5,may,3.7,1,-1,0,unknown,no
29,admin.,single,secondary,0,390,1,0,5,may,2.28,1,-1,0,unknown,no
53,technician,married,secondary,0,6,1,0,5,may,8.62,1,-1,0,unknown,no
57,services,married,secondary,0,162,1,0,5,may,2.9,1,-1,0,unknown,no
51,retired,married,primary,0,229,1,0,5,may,5.88,1,-1,0,unknown,no
57,blue-collar,married,primary,0,52,1,0,5,may,0.63,1,-1,0,unknown,no
60,retired,married,primary,0,60,1,0,5,may,3.65,1,-1,0,unknown,no
33,services,married,secondary,0,0,1,0,5,may,0.9,1,-1,0,unknown,no
28,blue-collar,married,secondary,0,723,1,1,5,may,4.37,1,-1,0,unknown,no
56,management,married,tertiary,0,779,1,0,5,may,2.73,1,-1,0,unknown,no
32,blue-collar,single,primary,0,23,1,1,5,may,2.67,1,-1,0,unknown,no
25,services,married,secondary,0,50,1,0,5,may,5.7,1,-1,0,unknown,no
40,retired,married,primary,0,0,1,1,5,may,3.02,1,-1,0,unknown,no
44,admin.,married,secondary,0,-372,1,0,5,may,2.87,1,-1,0,unknown,no
39,management,single,tertiary,0,255,1,0,5,may,4.93,1,-1,0,unknown,no
52,entrepreneur,married,secondary,0,113,1,1,5,may,2.12,1,-1,0,unknown,no
46,management,single,secondary,0,-246,1,0,5,may,4.25,2,-1,0,unknown,no
36,technician,single,secondary,0,265,1,1,5,may,5.8,1,-1,0,unknown,no
57,technician,married,secondary,0,839,0,1,5,may,3.75,1,-1,0,unknown,no
49,management,married,tertiary,0,378,1,0,5,may,3.83,1,-1,0,unknown,no
60,admin.,married,secondary,0,39,1,1,5,may,3.47,1,-1,0,unknown,no
59,blue-collar,married,secondary,0,0,1,0,5,may,3.77,1,-1,0,unknown,no
57,technician,divorced,secondary,0,63,1,0,5,may,4.03,1,-1,0,unknown,no
25,blue-collar,married,secondary,0,-7,1,0,5,may,6.08,1,-1,0,unknown,no
53,technician,married,secondary,0,-3,0,0,5,may,27.77,1,-1,0,unknown,no
36,admin.,divorced,secondary,0,506,1,0,5,may,9.62,1,-1,0,unknown,no
37,admin.,single,secondary,0,0,1,0,5,may,2.28,1,-1,0,unknown,no
44,services,divorced,secondary,0,2586,1,0,5,may,2.67,1,-1,0,unknown,no
50,management,married,secondary,0,49,1,0,5,may,3,2,-1,0,unknown,no
54,retired,married,secondary,0,529,1,0,5,may,24.87,1,-1,0,unknown,no
36,admin.,single,primary,0,-171,1,0,5,may,4.03,1,-1,0,unknown,no
58,self-employed,married,tertiary,0,-364,1,0,5,may,5.92,1,-1,0,unknown,no
44,technician,married,secondary,0,0,1,0,5,may,3.75,2,-1,0,unknown,no
55,technician,divorced,secondary,0,0,0,0,5,may,2.67,1,-1,0,unknown,no
29,management,single,tertiary,0,0,1,0,5,may,6.05,1,-1,0,unknown,no
54,blue-collar,married,secondary,0,1291,1,0,5,may,4.43,1,-1,0,unknown,no
48,management,divorced,tertiary,0,-244,1,0,5,may,4.22,1,-1,0,unknown,no
32,management,married,tertiary,0,0,1,0,5,may,2.98,1,-1,0,unknown,no
42,admin.,single,secondary,0,-76,1,0,5,may,13.12,1,-1,0,unknown,no
24,technician,single,secondary,0,-103,1,1,5,may,2.42,1,-1,0,unknown,no
38,entrepreneur,single,tertiary,0,243,0,1,5,may,2.9,1,-1,0,unknown,no
38,management,single,tertiary,0,424,1,0,5,may,1.73,1,-1,0,unknown,no
46,services,married,primary,0,179,1,0,5,may,29.63,1,-1,0,unknown,no
32,admin.,married,tertiary,0,0,1,0,5,may,2.3,1,-1,0,unknown,no
53,technician,divorced,secondary,0,989,1,0,5,may,13.53,1,-1,0,unknown,no
